OrderID,Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23
O0011,5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,
O0048,1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,
O0105,1,soda,,,,,,,,,,,,,,,,,,,,,,
O0164,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O0186,23,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
O0262,1,pork,,,,,,,,,,,,,,,,,,,,,,
O0305,5,onions,soda,chewing gum,chocolate,newspapers,,,,,,,,,,,,,,,,,,
O0309,9,sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner,,,,,,,,,,,,,,
O0358,1,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,
O0371,2,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
O0444,1,soda,,,,,,,,,,,,,,,,,,,,,,
O0484,11,sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins,,,,,,,,,,,,
O0623,7,beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels,,,,,,,,,,,,,,,,
O0651,2,coffee,soda,,,,,,,,,,,,,,,,,,,,,
O0668,3,whole milk,hard cheese,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,
O0732,7,meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,
O0738,4,chicken,onions,herbs,hygiene articles,,,,,,,,,,,,,,,,,,,
O0808,1,ice cream,,,,,,,,,,,,,,,,,,,,,,
O0875,4,beef,root vegetables,whole milk,cream cheese,,,,,,,,,,,,,,,,,,,
O0876,1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
O0879,3,yogurt,beverages,coffee,,,,,,,,,,,,,,,,,,,,
O0881,2,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,
O0937,8,beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,potted plants,,,,,,,,,,,,,,,
O0986,2,whole milk,newspapers,,,,,,,,,,,,,,,,,,,,,
O0999,5,pork,beef,ice cream,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,
O1018,1,bottled water,,,,,,,,,,,,,,,,,,,,,,
O1028,2,UHT-milk,bottled water,,,,,,,,,,,,,,,,,,,,,
O1134,5,tropical fruit,other vegetables,bottled water,bottled beer,napkins,,,,,,,,,,,,,,,,,,
O1263,17,turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,butter milk,yogurt,rolls/buns,oil,fruit/vegetable juice,waffles,candy,,,,,,
O1350,17,frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine,soda,salty snack,chocolate,chocolate marshmallow,detergent,hygiene articles,napkins,potted plants,,,,,,
O1368,5,frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles,,,,,,,,,,,,,,,,,,
O1450,6,herbs,curd,roll products,vinegar,canned beer,newspapers,,,,,,,,,,,,,,,,,
O1475,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O1477,2,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,
O1540,3,pip fruit,yogurt,sliced cheese,,,,,,,,,,,,,,,,,,,,
O1576,3,pork,other vegetables,specialty fat,,,,,,,,,,,,,,,,,,,,
O1669,3,domestic eggs,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
O1732,2,butter,cleaner,,,,,,,,,,,,,,,,,,,,,
O1785,2,beverages,pastry,,,,,,,,,,,,,,,,,,,,,
O1862,2,butter,white wine,,,,,,,,,,,,,,,,,,,,,
